iter	Passed	Remaining
188	2042	3361
189	2051	3347
190	2060	3333
191	2068	3318
192	2077	3304
193	2084	3288
194	2093	3273
195	2101	3258
196	2109	3244
197	2118	3231
198	2127	3217
199	2136	3204
200	2145	3191
201	2153	3177
202	2162	3163
203	2171	3151
204	2180	3137
205	2189	3124
206	2197	3111
207	2207	3098
208	2215	3084
209	2225	3072
210	2233	3059
211	2242	3046
212	2251	3033
213	2259	3020
214	2268	3006
215	2275	2992
216	2283	2978
217	2291	2964
218	2299	2950
219	2308	2937
220	2316	2924
221	2324	2910
222	2332	2897
223	2340	2884
224	2349	2871
225	2357	2858
226	2365	2845
227	2374	2832
228	2383	2820
229	2392	2808
230	2401	2796
231	2411	2785
232	2420	2774
233	2429	2761
234	2439	2750
235	2448	2738
236	2458	2727
237	2466	2715
238	2476	2704
239	2486	2693
240	2496	2682
241	2505	2671
242	2514	2659
243	2523	2648
244	2533	2636
245	2541	2624
246	2549	2611
247	2557	2599
248	2566	2587
249	2575	2575
250	2583	2562
251	2591	2550
252	2600	2538
253	2608	2525
254	2616	2513
255	2624	2501
256	2633	2490
257	2642	2478
258	2650	2466
259	2658	2454
260	2668	2443
261	2676	2431
262	2685	2419
263	2694	2408
264	2702	2396
265	2712	2386
266	2721	2375
267	2731	2364
268	2740	2352
269	2749	2342
270	2758	2331
271	2768	2320
272	2778	2310
273	2788	2299
274	2797	2288
275	2806	2277
276	2816	2267
277	2825	2256
278	2834	2245
279	2843	2233
280	2852	2223
281	2862	2212
282	2872	2202
283	2882	2192
284	2890	2180
285	2900	2170
286	2908	2158
287	2917	2147
288	2925	2135
289	2934	2124
290	2943	2113
291	2952	2102
292	2960	2091
293	2968	2079
294	2977	2068
295	2985	2057
296	2994	2046
297	3003	2035
298	3011	2024
299	3020	2013
300	3028	2002
301	3037	1991
302	3047	1981
303	3056	1970
304	3065	1959
305	3074	1949
306	3083	1938
307	3091	1927
308	3100	1916
309	3108	1905
310	3117	1894
311	3127	1884
312	3135	1873
313	3145	1863
314	3154	1852
315	3164	1842
316	3172	1831
317	3182	1821
318	3191	1811
319	3200	1800
320	3209	1789
321	3219	1779
322	3228	1769
323	3237	1758
324	3246	1748
325	3255	1737
326	3263	1726
327	3272	1716
328	3280	1705
329	3289	1694
330	3298	1684
331	3307	1673
332	3317	1663
333	3325	1652
334	3334	1642
335	3343	1631
336	3352	1621
337	3362	1611
338	3381	1606
339	3391	1596
340	3402	1586
341	3412	1576
342	3422	1566
343	3432	1556
344	3443	1546
345	3452	1536
346	3463	1527
347	3474	1517
348	3484	1507
349	3494	1497
350	3504	1487
351	3515	1478
352	3525	1468
353	3536	1458
354	3547	1448
355	3558	1439
356	3568	1429
357	3578	1419
358	3589	1409
359	3600	1400
360	3612	1390
361	3623	1381
362	3634	1371
363	3645	1361
364	3658	1352
365	3668	1343
366	3681	1334
367	3693	1324
368	3704	1315
369	3716	1305
370	3728	1296
371	3741	1287
372	3753	1278
373	3765	1268
374	3778	1259
375	3791	1250
376	3802	1240
377	3815	1231
378	3828	1222
379	3839	1212
380	3850	1202
381	3864	1193
382	3877	1184
383	3890	1175
384	3902	1165
385	3914	1156
386	3927	1146
387	3941	1137
388	3954	1128
389	3968	1119
390	3981	1109
391	3996	1100
392	4009	1091
393	4022	1082
394	4036	1073
395	4049	1063
396	4062	1053
397	4075	1044
398	4088	1035
399	4102	1025
400	4117	1016
401	4132	1007
402	4147	998
403	4162	989
404	4177	979
405	4192	970
406	4206	961
407	4220	951
408	4236	942
